"page","marking_lang","marking","translation_en"
1,it,Allegro maestoso,
1,de,Mit durchaus ernstem und feierlichem Ausdruck,
1,de,Wild,
1,de,immer wuchtig,
1,it,sempre,
2,de,wie zu anfang,
2,it,molto,
2,it,a tempo (poco piu mosso),
2,de,Vorwärts,
2,it,pesante,
2,it,molto cresc,
2,de,Behrugend,
2,de,Zurück,
2,de,haltend,
2,de,nur die Hälfte,
2,de,nur 2 celli,
2,de,Sehr mässig,
3,de,Nock immer and allmählich zurückhaltend,
3,de,Alle u. getheilt,
3,de,hälfte,
3,de,Nock etwas langsamer,
3,de,mid sord,
3,de,ohne Sord,
3,de,nur die hälfte,
3,de,allmählich zu Tempo I zurückkehren,
3,it,non legato,
4,de,geth.,
4,de,am Griffbrett,
4,de,natürlich,
4,de,unis am Griffbrett,
4,de,Vorwärts,
4,de,Drängend,
4,de,Nicht zurückhalten,
4,de,immer bewegter,
4,de,nur die Hälfte,
4,de,Alle geth,
4,de,Immer nick etwas vorwärts,
4,de,Schnell,
4,de,am Steg.,
4,de,riten,
4,de,bis zur Unhörbar keit abnehmen,
5,de,Sehr kabgsan beginnend,
5,de,Von hier an allmählick bewegter,
5,de,Alle,
5,it,poco a poco cresc.,
5,de,Strich für Strich.,
5,it,molto piu mosso,
5,it,a tempo subito,
5,it,poco rit,
6,de,a tempt subito aber wuchtiger,
6,de,mit eilen,
6,de,mit diem Bogen geschlagen,
6,de,Etwas,
6,de,drängend,
6,it,molto pesante,
6,it,riten,
6,it,poco cresc,
7,de,zurückhalten,
7,de,mit sord,
7,de,geth.,
7,de,Immer noch mehr zurückhaltend,
7,de,ohne sord,
7,it,gliss,
7,de,immer langsam,
7,de,Langsam une feirlich. Im tempo des Trauermarsches,
7,de,nicht schleppen,
7,de,schnell,
